ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount,create_time
000104.SH,20250819,1308.7173,1314.545,1315.7709,1305.8316,1316.4226,-7.7053,-0.5853,3552589.0,2567206.9,2025-08-19 15:05:12
000105.SH,20250819,4581.8099,4584.5058,4616.708,4554.7929,4595.417,-13.6071,-0.2961,18984460.0,32481383.5,2025-08-19 15:05:12
000106.SH,20250819,5189.1791,5193.1418,5220.4126,5150.7333,5198.7331,-9.554,-0.1838,27986532.0,53262439.5,2025-08-19 15:05:12
000107.SH,20250819,5575.6644,5493.8763,5619.1884,5459.5484,5493.9506,81.7138,1.4873,9621067.0,17708975.9,2025-08-19 15:05:12
000108.SH,20250819,12622.9095,12621.7866,12665.8676,12562.1035,12564.0077,58.9018,0.4688,5127437.0,9206595.5,2025-08-19 15:05:12
000109.SH,20250819,11275.3204,11338.615,11481.7893,11258.8986,11352.7335,-77.4131,-0.6819,6505512.0,17253013.3,2025-08-19 15:05:12
000110.SH,20250819,4432.2581,4461.2536,4483.514,4423.217,4481.2234,-48.9653,-1.0927,13162883.0,13197761.9,2025-08-19 15:05:12
000111.SH,20250819,8924.0081,8988.8728,9040.2199,8906.1222,8988.3109,-64.3028,-0.7154,8486240.0,33108248.0,2025-08-19 15:05:12
000112.SH,20250819,5324.9052,5216.9137,5359.4121,5211.6837,5207.3726,117.5326,2.257,5605649.0,15328260.1,2025-08-19 15:05:12
000113.SH,20250819,2724.2912,2751.5513,2759.9734,2716.4907,2738.1462,-13.855,-0.506,10866529.0,7542333.9,2025-08-19 15:05:12
000114.SH,20250819,1164.1136,1171.2761,1175.2618,1162.9025,1171.5256,-7.412,-0.6327,15599258.0,22832980.5,2025-08-19 15:05:12
000115.SH,20250819,8138.6263,8142.1011,8183.6006,8101.2868,8147.3453,-8.719,-0.107,119742205.0,210647276.3,2025-08-19 15:05:12
000117.SH,20250819,3976.5874,3978.8895,4007.3453,3959.4252,3979.0415,-2.4541,-0.0617,23648814.0,65342130.1,2025-08-19 15:05:12
000118.SH,20250819,9507.5634,9529.6855,9550.5017,9481.5844,9527.5094,-19.946,-0.2094,43105235.0,40747421.5,2025-08-19 15:05:12
000119.SH,20250819,4042.4258,4042.5965,4075.1019,4022.3314,4045.9334,-3.5076,-0.0867,85040361.0,183326981.5,2025-08-19 15:05:12
000120.SH,20250819,9048.6049,9058.3536,9090.5057,9016.0483,9064.6021,-15.9972,-0.1765,104496782.0,158732272.9,2025-08-19 15:05:12
000121.SH,20250819,9030.6,9102.8608,9237.0298,9021.0005,9096.9098,-66.3098,-0.7289,11095368.0,46037519.3,2025-08-19 15:05:12
000122.SH,20250819,1599.846,1593.5961,1604.9637,1593.1024,1592.2095,7.6365,0.4796,6066416.0,5329891.0,2025-08-19 15:05:12
000123.SH,20250819,6340.6789,6388.82,6433.0476,6330.3514,6380.6133,-39.9344,-0.6259,82125566.0,195089129.5,2025-08-19 15:05:12
000125.SH,20250819,11555.3037,11626.3345,11676.5038,11546.0675,11614.1737,-58.87,-0.5069,78060555.0,108894209.3,2025-08-19 15:05:12
000126.SH,20250819,8253.5682,8207.8443,8281.2443,8186.7843,8192.9119,60.6563,0.7404,21396493.0,60181783.2,2025-08-19 15:05:12
000128.SH,20250819,8553.6729,8548.8994,8588.3399,8518.4528,8551.2777,2.3952,0.028,119742205.0,210647276.3,2025-08-19 15:05:12
000129.SH,20250819,15095.6838,15158.4886,15205.7376,15075.1763,15143.4651,-47.7813,-0.3155,110030531.0,114735695.8,2025-08-19 15:05:12
000130.SH,20250819,12969.215,13011.3411,13026.5966,12940.7101,12992.8617,-23.6467,-0.182,31445951.0,31468753.0,2025-08-19 15:05:12
000131.SH,20250819,3738.9298,3757.0483,3835.3721,3731.3964,3761.2503,-22.3205,-0.5934,11192345.0,62906174.9,2025-08-19 15:05:12
000132.SH,20250819,5582.9675,5594.3173,5622.4044,5561.9954,5592.6855,-9.718,-0.1738,17775701.0,48762726.8,2025-08-19 15:05:12
000133.SH,20250819,6176.3057,6138.2728,6215.4565,6110.2471,6145.2241,31.0816,0.5058,27827778.0,54964921.3,2025-08-19 15:05:12
000134.SH,20250819,1076.6095,1074.2621,1079.7425,1071.3198,1074.3789,2.2306,0.2076,31286415.0,25025049.3,2025-08-19 15:05:12
000135.SH,20250819,5821.3068,5902.9818,5930.4518,5820.3958,5894.9867,-73.6799,-1.2499,36542297.0,155717300.9,2025-08-19 15:05:12
000136.SH,20250819,11865.2729,11885.9345,11934.0232,11850.1675,11906.6231,-41.3502,-0.3473,62258936.0,62462087.3,2025-08-19 15:05:12
000137.SH,20250819,5435.9763,5442.1069,5481.8786,5393.8434,5449.6547,-13.6784,-0.251,20378017.0,71990443.1,2025-08-19 15:05:12
000138.SH,20250819,7818.6977,7823.4352,7845.6418,7799.7484,7819.3028,-0.6051,-0.0077,26473130.0,34575491.6,2025-08-19 15:05:12
000141.SH,20250819,3655.7047,3646.0826,3684.6954,3628.2887,3652.4348,3.2699,0.0895,67403412.0,139222760.0,2025-08-19 15:05:12
000142.SH,20250819,9166.3036,9203.6025,9222.2802,9144.2776,9200.6945,-34.3909,-0.3738,51664952.0,68728154.2,2025-08-19 15:05:12
000145.SH,20250819,6277.733,6306.1273,6359.3949,6263.473,6303.5029,-25.7699,-0.4088,31546365.0,68590313.2,2025-08-19 15:05:12
000146.SH,20250819,6861.8994,6929.4238,6943.4523,6854.5097,6908.6083,-46.7089,-0.6761,26805622.0,64522564.1,2025-08-19 15:05:12
