TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
603520.SH,SH,司太立,12.16,10.045248985290527,269231840,5331064152.96,5331064238.08,5.206062316894531,1.0,95053.0,95053.0,66343452.0,0,化学制药,1/1,U,20250819,,,
605100.SH,SH,华丰股份,23.78,9.99074935913086,272859456,4040982960.0,4069518960.0,6.915482044219971,1.0,95106.0,95106.0,75527753.0,0,通用设备,1/1,U,20250819,,,
600400.SH,SH,红豆股份,2.67,9.876543045043945,412089664,6117962844.84,6117962855.5199995,7.03651237487793,2.0,95418.0,95418.0,34902258.0,0,纺织服装,2/2,U,20250819,,,
603139.SH,SH,康惠制药,25.18,10.004368782043457,93699464,2514978400.0,2514978400.0,3.839571475982666,1.0,95610.0,95610.0,37399753.0,0,中药,1/1,U,20250819,,,
301632.SZ,SZ,广东建科,44.36,19.989181518554688,1902559296,3054782952.52,18567321600.0,66.57756805419922,1.0,95654.0,142521.0,55913428.0,2,专业服务,1/1,U,20250819,,,
000799.SZ,SZ,酒鬼酒,57.7,10.009532928466797,1800739984,18746757696.0,18748401915.2,9.75704574584961,1.0,95824.0,142942.0,60223740.0,7,酿酒行业,1/1,U,20250819,,,
600658.SH,SH,电子城,7.71,9.985734939575195,1202136144,8624290696.95,8624290658.4,14.580249786376953,1.0,100401.0,143437.0,22442730.0,5,房地产服务,4/6,U,20250819,,,
002820.SZ,SZ,桂发祥,15.86,9.986129760742188,544607328,3185771158.7,3185771158.7,17.76897621154785,1.0,100948.0,100948.0,65152245.0,0,食品饮料,4/7,U,20250819,,,
600980.SH,SH,北矿科技,25.47,10.021598815917969,539233600,4783133963.5199995,4820542007.219999,11.640847206115723,1.0,100958.0,100958.0,64395368.0,0,小金属,1/1,U,20250819,,,
300598.SZ,SZ,诚迈科技,55.39,19.99566650390625,1838240064,12015252805.25,12018618633.99,16.294757843017578,1.0,101133.0,101133.0,247857344.0,0,软件开发,1/1,U,20250819,,,
