ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000107.SH,20250818,5493.9506,5489.817,5542.3681,5459.5241,5459.3291,34.6215,0.6342,9133476.0,17317953.2
000108.SH,20250818,12564.0077,12425.156,12594.4616,12425.156,12367.2565,196.7512,1.5909,3410071.0,6730570.1
000109.SH,20250818,11352.7335,11293.3368,11390.3372,11268.2035,11265.3604,87.3731,0.7756,6485649.0,17907311.9
000110.SH,20250818,4481.2234,4488.1872,4543.3699,4427.6464,4467.5283,13.6951,0.3065,21429560.0,22311548.0
000111.SH,20250818,8988.3109,8781.0299,9059.439,8749.137,8747.8999,240.411,2.7482,12256573.0,44686843.5
000112.SH,20250818,5207.3726,5160.902,5248.3624,5155.9498,5146.5232,60.8494,1.1823,5791734.0,15769661.629
000113.SH,20250818,2738.1462,2723.1085,2754.7057,2721.5143,2707.3303,30.8159,1.1382,11785278.0,5764773.846
000114.SH,20250818,1171.5256,1168.8595,1178.8729,1167.2259,1164.8362,6.6894,0.5743,20851907.0,29419140.026
000115.SH,20250818,8147.3453,8115.2669,8197.348,8085.0246,8070.6152,76.7301,0.9507,143848648.0,238631056.817
000117.SH,20250818,3979.0415,3950.5692,4001.676,3935.4143,3925.1044,53.9371,1.3742,25134220.0,73054719.331
000118.SH,20250818,9527.5094,9557.1763,9579.1791,9502.471,9521.8341,5.6753,0.0596,53647576.0,44327126.805
000119.SH,20250818,4045.9334,4013.2266,4071.274,3995.69,3989.507,56.4264,1.4144,96963187.0,204607290.731
000120.SH,20250818,9064.6021,9057.8389,9127.6832,9021.7545,9016.1708,48.4313,0.5372,125476544.0,175879698.205
000121.SH,20250818,9096.9098,9017.7248,9115.5703,9008.1615,8990.2901,106.6197,1.1859,10597451.0,38356104.493
000122.SH,20250818,1592.2095,1590.2837,1598.4098,1585.5091,1587.8743,4.3352,0.273,6035943.0,5357505.155
000123.SH,20250818,6380.6133,6367.4972,6452.1241,6313.7426,6327.7541,52.8592,0.8354,102409603.0,215709724.126
000125.SH,20250818,11614.1737,11624.3874,11673.8171,11590.7033,11598.4871,15.6866,0.1352,86018009.0,115878568.858
000126.SH,20250818,8192.9119,8149.4397,8259.0211,8146.5913,8104.4378,88.4741,1.0917,19095718.0,53504014.343
000128.SH,20250818,8551.2777,8555.5213,8602.4502,8524.9152,8517.3606,33.9171,0.3982,143848648.0,238631056.817
000129.SH,20250818,15143.4651,15158.5912,15232.8512,15111.3008,15115.8719,27.5932,0.1825,130311078.0,137242306.765
000130.SH,20250818,12992.8617,12989.8281,13050.6986,12964.1562,12952.9071,39.9546,0.3085,38539938.0,33188888.888
000131.SH,20250818,3761.2503,3664.3646,3767.8633,3656.245,3637.0846,124.1657,3.4139,10360236.0,63358160.09
