ts_code,trade_date,close,open,high,low,pre_close,change,pct_change,vol,amount
000137.SH,20250820,5490.4349,5414.6765,5490.4349,5362.9683,5435.9763,54.4586,1.0018,20111780.0,73594944.9
000138.SH,20250820,7878.6624,7805.2224,7879.5384,7772.5735,7818.6977,59.9647,0.7669,27616348.0,32740635.1
000141.SH,20250820,3705.1192,3646.6094,3705.1192,3628.2281,3655.7047,49.4145,1.3517,67441831.0,137738007.5
000142.SH,20250820,9274.1427,9153.107,9274.4876,9132.2378,9166.3036,107.8391,1.1765,54240949.0,68071568.7
000145.SH,20250820,6337.0954,6238.2404,6361.9075,6238.2404,6277.733,59.3624,0.9456,27058023.0,54444646.2
000146.SH,20250820,6949.2661,6869.2554,6950.4917,6834.3232,6861.8994,87.3667,1.2732,26373435.0,60725307.4
000147.SH,20250820,7217.0357,7101.4075,7217.0357,7079.9203,7128.2352,88.8005,1.2458,11231274.0,41395940.4
000148.SH,20250820,9581.8247,9381.3298,9585.1052,9355.0782,9417.5076,164.3171,1.7448,63180403.0,145365180.6
000149.SH,20250820,4104.8048,4077.1712,4109.0198,4065.4543,4079.834,24.9708,0.6121,38038354.0,37067669.9
000150.SH,20250820,11920.8148,11804.0307,11921.6244,11774.1474,11811.6189,109.1959,0.9245,9110621.0,6019056.8
000151.SH,20250820,1568.6584,1556.2508,1569.8921,1552.8367,1556.952,11.7064,0.7519,29283829.0,23733787.1
000152.SH,20250820,2898.7077,2866.3342,2901.2116,2854.9302,2869.3074,29.4003,1.0246,38077515.0,32610582.7
000153.SH,20250820,3144.2087,3104.6725,3144.2087,3096.9385,3101.0403,43.1684,1.3921,5930595.0,5950963.8
000155.SH,20250820,3102.0225,3057.5852,3103.0687,3050.4242,3062.9504,39.0721,1.2756,111894338.0,251928973.5
000158.SH,20250820,1210.1994,1206.6441,1211.019,1187.7526,1200.2625,9.9369,0.8279,16430705.0,25325363.9
000159.SH,20250820,3464.3898,3414.7084,3464.8439,3404.7234,3423.809,40.5808,1.1853,559923695.0,862399893.5
000160.SH,20250820,1906.4886,1889.5463,1907.0298,1882.1496,1892.3685,14.1201,0.7462,67522727.0,55878302.1
000161.SH,20250820,1618.7926,1605.6307,1618.887,1591.6667,1607.0613,11.7313,0.73,56136146.0,123185796.9
000162.SH,20250820,3698.3288,3682.7365,3699.2479,3639.2867,3706.8919,-8.5631,-0.231,29848002.0,73171539.2
000170.SH,20250820,5880.5623,5809.553,5885.7598,5783.9986,5829.8252,50.7371,0.8703,34381595.0,103298088.8
000171.CSI,20250820,1511.4334,1478.9188,1511.5292,1465.6164,1496.651,14.7824,0.9877,44734598.0,210906347.5
000300.SH,20250820,4271.3958,4208.4005,4272.1463,4190.5559,4223.3741,48.0217,1.137,246481773.0,538815306.1
