TS_CODE,EXCHANGE,NAME,CLOSE,PCT_CHG,AMOUNT,FLOAT_MV,TOTAL_MV,TURNOVER_RATIO,LIMIT_TIMES,FIRST_TIME,LAST_TIME,FD_AMOUNT,OPEN_TIMES,INDUSTRY,UP_STAT,LIMIT,TRADE_DATE,PE,LIMIT_AMOUNT,SWING
002888.SZ,SZ,惠威科技,21.2,10.015567779541016,192151848,1588368024.0,3130040334.4,12.423370361328125,1.0,95436.0,95436.0,51952720.0,0,消费电子,1/1,U,20250820,,,
603800.SH,SH,洪田股份,53.34,10.002062797546387,1063800160,11094720000.0,11094720000.0,9.914621353149414,1.0,95933.0,142218.0,21997416.0,1,专用设备,1/1,U,20250820,,,
600703.SH,SH,三安光电,14.43,9.984756469726562,3089438800,71991540230.61,71991538744.31999,4.414463520050049,1.0,100512.0,100512.0,549748209.0,0,光学光电,1/1,U,20250820,,,
000700.SZ,SZ,模塑科技,10.41,10.042283058166504,1170939136,9556540199.49,9556540230.72,12.717065811157227,1.0,100618.0,101418.0,72158892.0,2,汽车零部件,3/6,U,20250820,,,
003009.SZ,SZ,中天火箭,59.76,9.994478225708008,696268944,9286287413.039999,9286334623.44,7.829499244689941,1.0,100818.0,101554.0,64684224.0,2,航天航空,2/3,U,20250820,,,
002722.SZ,SZ,物产金轮,19.35,10.005684852600098,403788336,3396283594.2000003,3997794424.05,12.243805885314941,1.0,100827.0,100827.0,129442560.0,0,纺织服装,1/1,U,20250820,,,
002583.SZ,SZ,海能达,13.86,10.0,2064140240,17778513739.14,25206064551.36,12.030082702636719,1.0,101006.0,101006.0,250869465.0,0,通信设备,1/1,U,20250820,,,
605303.SH,SH,园林股份,16.56,10.033222198486328,379617184,2670091476.48,2670091476.48,15.08891773223877,3.0,101439.0,101515.0,133641849.0,1,工程建设,3/3,U,20250820,,,
002217.SZ,SZ,合力泰,2.88,9.923664093017578,630271648,16359371686.08,21540668866.559998,4.018848896026611,1.0,101827.0,101827.0,105990143.0,0,光学光电,1/1,U,20250820,,,
002190.SZ,SZ,成飞集成,40.32,10.013643264770508,2598447840,14463967109.76,14463967150.08,18.415109634399414,1.0,101921.0,112600.0,145304046.0,5,汽车零部件,1/1,U,20250820,,,
300701.SZ,SZ,森霸传感,13.54,20.03546142578125,708183232,3373109483.4199996,3828233524.7999997,22.196840286254883,1.0,102645.0,102645.0,73334616.0,0,光学光电,1/1,U,20250820,,,
003022.SZ,SZ,联泓新科,21.22,10.005184173583984,937068208,28316643326.5,28340752960.0,3.425539016723633,1.0,102842.0,102842.0,134154240.0,0,化学制品,2/4,U,20250820,,,
600651.SH,SH,飞乐音响,7.08,9.937888145446777,1031038400,17749758346.2,17749758353.28,6.07508659362793,1.0,103345.0,133712.0,26043383.0,9,光学光电,1/1,U,20250820,,,
603926.SH,SH,铁流股份,14.56,9.969788551330566,255693445,3361010176.1600003,3417473856.1600003,7.874853610992432,1.0,103620.0,103620.0,71983111.0,0,汽车零部件,1/1,U,20250820,,,
603366.SH,SH,日出东方,10.76,10.0204496383667,772354736,8748397566.76,8748397512.96,9.104971885681152,1.0,103651.0,103651.0,83536336.0,0,家电行业,1/1,U,20250820,,,
600510.SH,SH,黑牡丹,7.71,9.985734939575195,282636608,7956916273.47,7956916265.76,3.6780753135681152,1.0,103810.0,103810.0,23886975.0,0,房地产开发,1/1,U,20250820,,,
600361.SH,SH,创新新材,4.72,10.023309707641602,863601440,6934915903.679999,19387097391.36,12.82165241241455,1.0,104217.0,130820.0,69135732.0,2,有色金属,1/1,U,20250820,,,
600156.SH,SH,华升股份,8.21,10.053619384765625,227158688,3301328863.4200006,3301328879.84,7.183403491973877,1.0,104401.0,104401.0,48592600.0,0,纺织服装,1/1,U,20250820,,,
002725.SZ,SZ,跃岭股份,16.04,10.013717651367188,615960416,3399300177.7999997,4106240000.0,19.040197372436523,1.0,105203.0,105203.0,112512531.0,0,汽车零部件,1/1,U,20250820,,,
603586.SH,SH,金麒麟,21.95,10.025062561035156,238980157,4303358521.0,4303358521.0,5.773853302001953,1.0,110430.0,110430.0,112601305.0,0,汽车零部件,1/1,U,20250820,,,
601579.SH,SH,会稽山,21.69,9.98985767364502,739051280,10399561341.210001,10399561319.52,7.428414821624756,1.0,110914.0,130414.0,47453555.0,1,酿酒行业,1/1,U,20250820,,,
300686.SZ,SZ,智动力,13.37,20.017953872680664,591085040,2589379491.79,3484545821.3999996,24.392236709594727,1.0,111315.0,111315.0,80010358.0,0,消费电子,1/1,U,20250820,,,
000721.SZ,SZ,西安饮食,9.85,10.055866241455078,577448688,5046749033.8,5653055894.4,11.891833305358887,1.0,112645.0,112645.0,83750807.0,0,旅游酒店,1/1,U,20250820,,,
301008.SZ,SZ,宏昌科技,30.64,20.015666961669922,555643472,3549436689.76,4012713489.76,17.1134090423584,1.0,130018.0,130018.0,92085088.0,0,家电行业,1/1,U,20250820,,,
605179.SH,SH,一鸣食品,22.91,9.985597610473633,578253584,9186910000.0,9186910000.0,6.575361728668213,1.0,130056.0,130056.0,67914404.0,0,食品饮料,1/1,U,20250820,,,
002164.SZ,SZ,宁波东力,13.21,9.991673469543457,1249168848,6337830629.780001,7030014524.160001,20.729537963867188,1.0,130221.0,130221.0,160210457.0,0,通用设备,2/3,U,20250820,,,
605188.SH,SH,国光连锁,13.67,9.97586441040039,453093712,6853475005.0,6853475059.68,6.963493824005127,1.0,130326.0,130326.0,40613980.0,0,商业百货,4/8,U,20250820,,,
603332.SH,SH,苏州龙杰,15.83,10.006949424743652,514984992,3424775922.72,3424775922.72,15.609818458557129,1.0,131211.0,131211.0,150167100.0,0,化纤行业,1/1,U,20250820,,,
600521.SH,SH,华海药业,22.68,9.990301132202148,2249224416,33024321192.239998,33957654675.84,7.0887980461120605,1.0,132551.0,143342.0,36372596.0,1,化学制药,1/1,U,20250820,,,
003010.SZ,SZ,若羽臣,59.43,9.994447708129883,779217904,9409181413.38,12995574502.68,8.685460090637207,1.0,132706.0,132706.0,114834449.0,0,互联网服,1/1,U,20250820,,,
600104.SH,SH,上汽集团,19.8,10.0,3965074128,229190929011.0,229190926694.4,1.787254810333252,1.0,132751.0,134509.0,172597114.0,3,汽车整车,1/1,U,20250820,,,
830839.BJ,SZ,万通液压,51.74,30.000001907348633,500151744,3417886192.5,6168184100.0,16.207162857055664,1.0,134316.0,140816.0,16441575.0,4,通用设备,1/1,U,20250820,,,
603159.SH,SH,上海亚虹,22.39,10.024569511413574,221685551,3134600000.0,3134600000.0,7.243814468383789,1.0,134355.0,145301.0,10189689.0,3,专用设备,1/1,U,20250820,,,
002575.SZ,SZ,群兴玩具,8.84,9.950248718261719,511635392,5112158740.0,5449860000.0,10.373806953430176,1.0,134606.0,134606.0,98139028.0,0,房地产服务,1/1,U,20250820,,,
000977.SZ,SZ,浪潮信息,65.95,10.008339881896973,10300519424,96974257629.55,97087311164.0,11.126567840576172,1.0,135109.0,135109.0,1054611330.0,0,计算机设,1/1,U,20250820,,,
002823.SZ,SZ,凯中精密,18.9,10.011641502380371,646988224,4133382693.2999997,6206173041.599999,16.663986206054688,1.0,135112.0,135112.0,52799588.0,0,电机,2/3,U,20250820,,,
002980.SZ,SZ,华盛昌,26.97,9.991843223571777,378726496,2707128853.2,5101137085.2,14.656386375427246,1.0,135424.0,135424.0,59738010.0,0,仪器仪表,1/1,U,20250820,,,
688702.SH,SH,盛科通信-U,111.0,20.0,968963648,22365587913.0,45510000000.0,4.940217971801758,1.0,135707.0,135707.0,69033120.0,0,半导体,1/1,U,20250820,,,
002141.SZ,SZ,贤丰控股,4.66,9.905660629272461,572822656,4807222797.5,4813480790.72,12.490612983703613,1.0,135818.0,135818.0,71200606.0,0,电子元件,1/1,U,20250820,,,
002625.SZ,SZ,光启技术,49.53,9.993337631225586,4246312064,106716383903.61,106716736507.68001,4.11317253112793,1.0,140830.0,145533.0,46344725.0,5,航天航空,1/1,U,20250820,,,
